GERMAN,ENGLISH
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
und,and
es,it
der,the
was,What
wir,we
er,he
zu,to
ein,a 
in,in
mit,With
mir,me
den,the
wie,how
ja,Yes
auf,on
mich,me
so,so
eine,one
aber,but
hier,here
sind,are
für,for
von,from
haben,to have
hat,Has
dich,you
war,was
dass,that
wenn,if
an,on
da,there
nein,no
bin,am
noch,still
dir,to you
nur,only 
habe,have
ihr,her
sich,itself
einen,a
uns,us
hast,have
dem,to the
ihn,him
aus,out
kann,can
gut,Well
auch,also
schon,beautiful
jetzt,now
im,in the
sein,be
mal,times
dann,then
meine,think
als,as
um,around
mein,my
doch,yet
bist,are you
wird,becomes
keine,no
nach,after
alles,all
man,man
lch,l
oder,or
nichts,Nothing
wo,Where
werden,will
weiß,White
will,want
geht,goes
mehr,more
warum,why
hab,have
ihnen,them
bitte,You're welcome
etwas,some
bei,at
muss,got to
los,Come on
immer,always
oh,Oh
vor,before
mann,husband
zum,to the
wieder,again
sehr,very
sehen,see
sagen,to say
also,so
gehen,walk
wer,who
alle,Everyone
denn,then
machen,make
ihm,him
können,be able
diese,this
komm,come
danke,thanks
euch,you
einem,one
tun,do
einer,one
gibt,are
nie,never
über,above
des,of
soll,target
kein,no
vielleicht,perhaps
weg,away
deine,yours
wissen,to know
am,at the
werde,will
leben,Life
kommen,come
kommt,comes
müssen,have to
viel,a lot of
wirklich,really
frau,Mrs
hatte,would have
heute,today
ok,OK
willst,want
dein,your
würde,would
tut,does
ihre,their
ganz,all
zeit,time
bis,until
wollen,want
einfach,easy
macht,power
gott,God
zurück,return
nun,well
weil,because
damit,in order to
dieser,this
kannst,can
wurde,became
gesagt,said
wäre,would
seine,his
wollte,wanted to
na,n / A
zwei,two
hallo,Hello
meinen,think
sicher,secure
weißt,know
sir,sir
morgen,morning
ab,away
leid,suffering
lassen,to let
hey,hey
waren,were
zur,to the
lass,let
e,e
geld,money
liebe,love
tag,Day
leute,people
vater,father
genau,I agree
sagte,said
hätte,would have
mach,do
raus,Out
durch,through
lhr,you
könnte,could
schön,Nice
wohl,probably
gesehen,seen
keinen,none
klar,clear
glaube,believe
her,here
okay,OK
mutter,mother
sag,say
dieses,this
nacht,night
besser,better
ohne,without
unsere,our
jemand,someone
sei,be
reden,talk
gerade,just
ob,if
gehört,heard
geh,go
möchte,would like
dort,there
sagt,says
anderen,others
gemacht,did
hör,listen
sollte,should
selbst,even
diesen,this
gute,quality
dachte,thought
paar,few
weiter,further
vom,from the
ins,into the
herr,Mr
wirst,will
geben,give
ordnung,order
passiert,happened
meiner,mine
lange,Long
gar,at all
mädchen,girl
meinem,my
hören,Listen
sieht,sees
daß,that
guten,good
hin,there
gleich,same
ach,Oh
diesem,this
freund,friend
seit,since
welt,world
musst,must
hause,home
natürlich,naturally
abend,evening
angst,fear
drei,three
recht,Law
richtig,correct
viele,many
deinen,yours
finden,Find
wieso,how come
bleiben,stay
tot,dead
unter,under
junge,Boy
haus,a house
rein,pure
essen,meal
davon,from that
nehmen,take
sollen,must
helfen,help
schnell,quickly
machst,do
eines,one
andere,other
unser,our
warte,wait
wegen,because
menschen,People
stimmt,Right
dafür,Therefore
darf,may
kinder,children
genug,enough
sonst,otherwise
ganze,whole
scheiße,crap
he,hey
halt,stop
sollten,should
zusammen,together
gegen,versus
jahre,years
erst,first
denke,think
steht,stands
habt,have
verdammt,Damn it
moment,moment
ihren,their
glauben,believe
bringen,bring
gib,give
seid,are
niemand,nobody
warten,waiting
brauchen,to need
lhre,your
fragen,ask
arbeit,job
wann,when
heißt,called
sprechen,speak
siehst,see
